# Income Groups.																																									
41																																									
# By group listed in the legal and illegal tables.																																									
#																																									
#																																									
# Groups Listed below, along with identifiers.																																									
#																																									
#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
#																						3		3		3	3		3		8	3	8	8							
#	Municipal	Soup Kit.	Warehse	Tenement	V.Poor	Poor Ind.	Med. Ind	Med. Ind	Rich Ind.	V.Rich	Dance	Bailiff	Cheese	Barber	Fortune	China	Baker	Beauty	Acupunct	Chirop	Acct.	Auto Deal	NULL	Auction	Jeweller	Furniture	Theater	Fur St.	Restaur	Diamond	Lge Hotel	Sm. Bank	Lge Bank	Dept.	Office	Teamster	Grifters	Gambling	Loans	Spkeasy	Casino
#	Charity	(NPC)			Ind.					Ind.	Gunsmith	Book St.	Clothiers	Blacksmi	Golf St.	Dressmkr	B'fast Bar	Bridal	Coffin Mk	Drs	Dentist	Cab Co.		Conv St.	Watchmk	Movies									Hideaway		Card Gme	Numbers	Whorehse		
#											Gym	Laundry	Detect	Candy St.	Hairpiece	Shoe St	Butcher	Cosmetic		Drug St.	Gold Mrc	Carpet St.		Local St											Press		Dice Gme				
#											Tattooist	Pet Store	Fancy Dr	Florist			Café	Gift St.		Ladieswr.	Optomet	Library		Sm Hotel																	
#												Pool Hall	Polishers	Gas St.			Cake St.	Health C		Real Est	Antiques																				
#												Saddler	Locksmth	Ice St.			Catering	Perfume			Art																				
#												Shoe Rep	News Ag.	Massage			Deli	Removals																							
#																																									
# Aver. LV	?	?	64	100	75	85	100	100	100	115	75	85	100	85	100	115	100	100	100	115	130	100	0	115	140	130	100	140	100	167	130	140	197	202	?	?	64	64	128	159	191
#																																									
# ic			0	100	20-30	40-60	60-100	80-140	120-150	150-200	10 to 15	10 to 20	10 to 30	15 to 20	10 to 15	15 to 20	15 to 40	20 to 40	15 to 20	15 to 40	10 to 30	15 to 60	0	20 to 100	15 to 20	20 to 75	80	60	60	40	200	150	250	250	10 to 30	20	10 to 20	15	10	10 to 75	100
#																																									
	0	0	0	500	240	240	312	312	312	0	-10	-10	-10	-15	-10	-10	-15	-20	-15	-15	-10	-15	0	-20	-15	-20	-80	-60	-60	30	-200	-150	-250	-250	0	400	500	700	300	840	-300
	0	0	0	650	480	420	456	456	456	300	83	55	55	86	91	86	86	85	100	100	50	110	0	45	45	60	0	10	100	220	100	40	80	0	0	480	620	860	600	1160	-200
	0	0	0	800	720	600	600	600	600	600	156	100	100	168	173	168	168	170	200	200	90	210	0	117	80	140	400	60	400	410	400	230	400	300	0	560	740	1020	900	1500	-100
	0	0	0	1000	960	900	1080	1080	1200	1320	230	270	270	270	270	280	300	300	300	300	130	740	0	774	115	220	930	110	1010	600	700	420	720	650	0	640	860	1180	1200	1840	0
	0	0	0	1150	1200	1200	1380	1440	1620	1800	320	440	475	415	345	340	340	530	575	595	160	860	0	918	150	510	1110	400	1210	790	1000	610	1040	1050	0	720	980	1340	1500	2060	400
	0	0	0	1300	1440	1500	1680	1800	2040	2280	410	475	510	505	550	560	585	620	630	655	750	980	0	1062	760	1225	1290	900	1410	980	2200	1200	1360	1500	0	800	1100	1500	1800	2460	800
	0	0	0	1450	1680	1800	1980	2160	2460	2760	440	510	545	535	580	590	615	650	685	715	850	1100	0	1224	820	1375	1470	980	1610	1080	2500	1900	1680	2000	0	900	1220	1660	2100	2860	1200
	0	0	0	1600	1440	2100	2280	2520	2880	3240	420	545	580	565	610	620	645	680	740	775	950	1220	0	1386	880	1525	1650	1060	1810	1180	2800	2100	2000	2550	0	900	976	1860	2400	3200	1600
	0	0	0	1750	1440	1920	2580	2880	3300	3720	400	530	615	545	640	650	675	710	795	835	1050	1340	0	1548	940	1675	1830	1140	2010	1280	3100	2300	3850	3150	0	900	732	1980	2600	3520	3000
	0	0	0	1900	1440	1920	2880	3240	3720	4200	380	515	650	525	670	680	705	740	850	895	1150	1460	0	1710	1000	1825	2010	1220	2210	1380	3400	2500	4300	4800	0	900	488	1594	2800	3840	4000
	0	0	0	2025	1440	1920	2400	3000	3360	4680	300	420	685	505	700	710	730	770	890	955	1250	1560	0	1872	1060	1975	2110	1300	2350	1480	3700	2700	4750	5400	0	900	244	1188	3000	4160	5000
	0	0	0	2150	1440	1920	2400	3000	3360	5160	220	330	710	485	730	740	755	800	930	1015	1350	1660	0	2034	1120	2125	2210	1380	2490	1580	4000	2900	5200	6000	0	900	0	782	3200	4480	6000
	0	0	0	2275	1440	1920	2400	3000	3360	5280	140	240	745	465	760	770	780	830	970	1055	1420	1760	0	2178	1180	2225	2310	1460	2630	1680	4250	3100	5650	6600	0	900	0	390	3300	4800	7000
	0	0	0	2400	1440	1920	2400	3000	3360	5400	140	150	780	445	790	800	805	860	1010	1095	1490	1860	0	2322	1220	2325	2410	1520	2770	1780	4500	3250	6100	7200	0	900	0	0	3400	5000	8000
	0	0	0	2525	1440	1920	2400	3000	3360	5520	140	150	815	425	820	830	830	890	1050	1135	1560	1960	0	2466	1260	2425	2510	1580	2910	1880	4750	3400	6550	7800	0	900	0	0	3500	5200	9000
	0	0	0	2650	1440	1920	2400	3000	3360	5640	140	150	840	405	850	860	855	920	1090	1175	1630	2060	0	2610	1300	2525	2610	1640	3050	1980	5000	3550	7000	8400	0	900	0	0	3600	5400	10000
