# Number of groups								
8								
#								
# Other	Comm	Comm	Comm	Ind	Res	W'house	Empty Land	
#								
#	Size 1	Size 3	Size 8	Size 8	Size 8	Size 8	Size 1	
#								Land Value / 16
0	40	100	200	160	140	120	20	# 0
0	60	150	300	240	210	180	30	# 1
0	80	200	400	320	280	240	40	# 2
0	100	250	500	400	350	300	50	# 3
0	120	300	600	480	420	360	60	# 4
0	140	350	700	560	490	420	70	# 5
0	160	400	800	640	560	480	80	# 6
0	180	450	900	720	630	540	90	# 7
0	200	500	1000	800	700	600	100	# 8
0	220	550	1100	880	770	660	110	# 9
0	240	600	1200	960	840	720	120	# 10
0	260	650	1300	1040	910	780	130	# 11
0	280	700	1400	1120	980	840	140	# 12
0	300	750	1500	1200	1050	900	150	# 13
0	320	800	1600	1280	1120	960	160	# 14
0	340	850	1700	1360	1190	1020	170	# 15
